20180601 090000000000,224.500,226.500,224.000,224.000,27594
20180604 090000000000,227.500,229.000,227.000,229.000,25857
20180605 090000000000,230.000,230.000,226.500,229.000,26474
20180606 090000000000,229.000,230.000,227.000,230.000,24724
20180607 090000000000,231.000,231.500,228.000,230.000,24934
20180608 090000000000,229.000,229.000,226.000,227.000,23494
20180611 090000000000,226.500,227.000,225.000,226.000,21633
20180612 090000000000,225.000,229.000,224.000,229.000,29399
20180613 090000000000,229.000,232.000,228.000,232.000,28797
20180614 090000000000,230.000,230.000,226.500,226.500,33324
20180615 090000000000,225.000,231.000,224.000,231.000,47996
20180619 090000000000,225.500,226.000,224.000,225.000,56777
20180620 090000000000,224.500,227.500,223.500,226.000,40682
20180621 090000000000,227.500,228.000,226.000,226.500,31181
20180622 090000000000,224.500,227.500,224.000,227.500,43230
20180625 090000000000,220.000,220.500,218.000,218.000,44905
20180626 090000000000,215.500,216.000,212.500,214.500,38359
20180627 090000000000,216.000,216.000,212.500,213.000,39768
20180628 090000000000,211.000,214.500,210.000,212.000,37892
20180629 090000000000,212.000,217.000,212.000,216.500,34251
20180702 090000000000,218.500,219.000,214.000,214.000,31637
20180703 090000000000,215.500,218.000,213.500,214.500,26777
20180704 090000000000,217.000,217.500,215.500,216.000,14991
20180705 090000000000,214.000,215.000,213.000,214.500,17897
20180706 090000000000,217.500,217.500,215.000,217.000,28867
20180709 090000000000,219.500,223.000,218.500,221.500,38397
20180710 090000000000,223.000,224.000,222.000,222.000,19943
20180711 090000000000,220.000,220.000,218.000,220.000,19802
20180712 090000000000,218.000,222.000,218.000,220.500,23522
20180713 090000000000,222.500,224.500,222.500,224.500,29251
20180716 090000000000,224.500,225.000,223.500,223.500,15801
20180717 090000000000,222.500,223.500,221.000,221.500,21528
20180718 090000000000,223.000,224.000,222.000,223.000,39856
20180719 090000000000,225.500,227.000,224.500,224.500,39601
20180720 090000000000,235.000,237.500,233.000,237.500,97815
20180723 090000000000,239.000,245.000,238.500,241.000,52183
20180724 090000000000,240.000,241.500,238.500,241.000,27180
20180725 090000000000,239.000,241.000,239.000,240.500,20928
20180726 090000000000,241.000,242.500,239.500,241.000,30576
20180727 090000000000,242.000,244.500,241.000,244.500,27044
20180730 090000000000,244.500,245.500,244.000,245.500,22756
20180731 090000000000,243.500,246.000,242.000,246.000,26960
20180801 090000000000,247.000,248.000,246.500,248.000,29016
20180802 090000000000,249.000,249.500,243.500,244.500,22340
20180803 090000000000,246.000,248.000,245.000,247.000,24633
20180806 090000000000,245.000,247.000,244.000,245.500,22290
20180807 090000000000,245.000,245.500,241.500,241.500,23923
20180808 090000000000,245.000,247.500,244.500,247.500,24332
20180809 090000000000,247.000,248.000,246.000,247.000,15091
20180810 090000000000,246.500,247.000,244.500,245.000,15850
20180813 090000000000,241.500,243.000,239.000,240.500,17822
20180814 090000000000,245.000,245.000,242.500,243.500,17319
20180815 090000000000,244.500,244.500,239.500,241.500,18436
20180816 090000000000,238.000,241.500,238.000,239.000,19105
20180817 090000000000,239.500,241.000,239.000,239.500,18298
20180820 090000000000,239.500,240.000,238.000,239.500,16911
20180821 090000000000,239.000,241.000,238.500,241.000,11989
20180822 090000000000,241.500,242.500,240.500,242.000,12592
20180823 090000000000,243.000,244.500,243.000,244.500,14808
20180824 090000000000,245.500,246.000,243.000,243.500,14335
20180827 090000000000,246.000,246.500,244.500,245.000,15127
20180828 090000000000,248.500,250.000,248.000,249.500,36645
20180829 090000000000,253.500,259.000,253.500,259.000,56805
20180830 090000000000,264.500,268.000,262.500,263.500,48843
20180831 090000000000,257.500,259.000,254.000,256.000,68988
20180903 090000000000,259.000,260.000,256.500,257.000,26683
20180904 090000000000,258.500,259.500,255.500,257.500,34264
20180905 090000000000,260.000,264.500,259.000,264.000,44675
20180906 090000000000,268.000,268.000,261.000,261.000,35613
